單位,電話,地址,FLOOR_X,FLOOR_Y
牡丹分駐所,08-8831110,屏東縣牡丹鄉石門村石門路32號,226652.000000,2447488.000000
旭海派出所,08-8830200,屏東縣牡丹鄉旭海村旭海路1號,238391.000000,2455139.000000
仁愛派出所,08-8830200,屏東縣牡丹鄉牡丹村牡丹路97號,233185.000000,2453026.000000
高士派出所,08-8811141,屏東縣牡丹鄉高士村高士路59號,234186.000000,2446942.000000
保力派出所,08-8821152,屏東縣車城鄉保力村褒忠路47號,221534.000000,2439897.000000
溫泉派出所,08-8821152,屏東縣車城鄉溫泉村溫泉路192號,224164.000000,2444084.000000
車城分駐所,08-8821152,屏東縣車城鄉福興村中山路17號,220511.000000,2441638.000000
三和派出所,08-7731145,屏東縣里港鄉土庫村土庫路74號,199503.000000,2524378.000000
大平派出所,08-7752034,屏東縣里港鄉大平村中山路103號,198062.000000,2519942.000000
里港分局,08-7752040,屏東縣里港鄉永春村永豐路一段3號,198125.000000,2519936.000000
佳冬分駐所,08-8662089,屏東縣佳冬鄉六根村佳和路89號,203632.000000,2479545.000000
石光派出所,08-8662034,屏東縣佳冬鄉石光村中山路1號,205043.000000,2482131.000000
來義分駐所,08-7850206,屏東縣來義鄉丹林村中正路92號,212116.000000,2491826.000000
文樂派出所,08-7981819,屏東縣來義鄉文樂村新樂路1號,209999.000000,2486330.000000
信義派出所,08-7850206,屏東縣來義鄉來義村來義路20號,216665.000000,2491820.000000
南和派出所,08-8791415,屏東縣來義鄉南和村南和路288號,212982.000000,2481770.000000
望嘉派出所,08-8791415,屏東縣來義鄉望嘉村望嘉路118之1號,211043.000000,2484957.000000
大鵬灣派出所,08-8338262,屏東縣東港鎮大潭路122號,196898.000000,2484178.000000
東港分局,08-8322045,屏東縣東港鎮船頭里沿海路1號,194601.000000,2484932.000000
東港派出所,08-8338183,屏東縣東港鎮船頭里沿海路1號,194601.000000,2484932.000000
東濱派出所,08-8322603,屏東縣東港鎮朝安里延平路112號,193168.000000,2485333.000000
加祿派出所,08-8720002,屏東縣枋山鄉加祿村加祿路102號,210719.000000,2470366.000000
枋山分駐所,08-8761129,屏東縣枋山鄉枋山村國中路二六巷5之1號,214194.000000,2462697.000000
楓港派出所,08-8771214,屏東縣枋山鄉善餘村德隆路19號,218145.000000,2454679.000000
建興派出所,08-8712962,屏東縣枋寮鄉地利村建興路262號,208317.000000,2476463.000000
東海派出所,08-8712920,屏東縣枋寮鄉東海村臨海路2段61號,206965.000000,2478341.000000
枋寮分局,08-8782004,屏東縣枋寮鄉枋寮村中興路33號,208134.000000,2474219.000000
枋寮派出所,08-8782949,屏東縣枋寮鄉枋寮村中興路33號,208134.000000,2474219.000000
林邊分駐所,08-8752018,屏東縣林邊鄉光林村中山路1-2號,200678.000000,2481271.000000
長治分駐所,08-7366741,屏東縣長治鄉進興村復興路2號,201488.000000,2508590.000000
德協派出所,08-7621604,屏東縣長治鄉德協村中興路635號,203647.000000,2510593.000000
繁華派出所,08-7621384,屏東縣長治鄉繁華村中山路102號,206433.000000,2511912.000000
南州分駐所,08-8642047,屏東縣南州鄉仁里村三民路528號,199514.000000,2487921.000000
建國派出所,08-7522978,屏東縣屏東市一心里復興路243號,197416.000000,2507109.000000
海豐派出所,08-7367704,屏東縣屏東市三山里海豐街18號,199531.000000,2510987.000000
民生派出所,08-7322646,屏東縣屏東市明正里北平路30號,197437.000000,2508484.000000
屏東分局,08-7322075,屏東縣屏東市武廟里永福路19號,197323.000000,2507993.000000
崇蘭派出所,08-7656206,屏東縣屏東市空翔里迪化街48號,196781.000000,2509032.000000
大同派出所,08-7555413,屏東縣屏東市前進里清進巷208號,195047.000000,2505927.000000
屏東縣警察局,08-7322598,屏東縣屏東市泰安里中正路119號,197490.000000,2508301.000000
民族派出所,08-7322072,屏東縣屏東市崇禮里民族路152號,196948.000000,2507919.000000
歸來派出所,08-7224416,屏東縣屏東市湖南里民生東路94號,199637.000000,2506941.000000
公館派出所,08-7527484,屏東縣屏東市龍華里龍華路157號,196804.000000,2504004.000000
民和派出所,08-7223077,屏東縣屏東市豐榮里民貴二街56號,198364.000000,2508374.000000
大光派出所,08-8894172,屏東縣恆春鎮大光里大光路87號,223196.000000,2427952.000000
恆春分局,08-8892075,屏東縣恆春鎮中正路60號,223697.000000,2433910.000000
仁壽派出所,08-8893247,屏東縣恆春鎮仁壽里仁壽路117號,222990.000000,2436563.000000
南灣派出所,08-8861039,屏東縣恆春鎮南灣里南灣路50號,225911.000000,2429062.000000
建民派出所,08-8892587,屏東縣恆春鎮城南里中正路60號,223697.000000,2433910.000000
墾丁派出所,08-8861039,屏東縣恆春鎮墾丁里墾丁路113號,229322.000000,2427439.000000
頭溝派出所,08-8893247,屏東縣恆春鎮頭溝里頭溝路30號,221347.000000,2436003.000000
龍水派出所,08-8894172,屏東縣恆春鎮龍水里龍泉路260號,222094.000000,2431447.000000
鵝鑾派出所,08-8861039,屏東縣恆春鎮鵝鑾里燈塔路220號,234736.000000,2423021.000000
士文派出所,08-8785180,屏東縣春日鄉士文村士文路64號,215381.000000,2474367.000000
古華派出所,08-8785180,屏東縣春日鄉古華村古華路二巷18號,211782.000000,2473439.000000
春日分駐所,08-8785180,屏東縣春日鄉春日村春日路316號,211589.000000,2474604.000000
歸崇派出所,08-8791104,屏東縣春日鄉歸崇村玉光路6號,211995.000000,2481036.000000
崁頂分駐所,08-8631404,屏東縣崁頂鄉崁頂村中正路117號,199723.000000,2490484.000000
榮和派出所,08-7833038,屏東縣泰武鄉平和村太和巷18號,211868.000000,2494793.000000
泰武分駐所,08-7833038,屏東縣泰武鄉佳平村佳平巷1號,211833.000000,2499121.000000
武潭派出所,9-7833038,屏東縣泰武鄉武潭村潭中巷55號,212399.000000,2497566.000000
忠孝派出所,08-7920001,屏東縣泰武鄉泰武村良武巷101號,215530.000000,2498717.000000
萬順派出所,08-7833038,屏東縣泰武鄉萬安村5號,211833.000000,2499121.000000
琉球分駐所,08-8612231,屏東縣琉球鄉中福村中山路262號,186424.000000,2472779.000000
好茶派出所,08-7956334,屏東縣高樹鄉泰山村山下路71號,210535.000000,2520762.000000
泰山派出所,08-7956334,屏東縣高樹鄉泰山村山下路71號,210535.000000,2520762.000000
高樹分駐所,08-7962021,屏東縣高樹鄉高樹村興中路334號,209010.000000,2525156.000000
新南派出所,08-7962584,屏東縣高樹鄉新南村新店路8號,204962.000000,2520550.000000
舊寮派出所,08-7916063,屏東縣高樹鄉新豐村民安路1-10號,210784.000000,2528481.000000
新埤分駐所,08-7971045,屏東縣新埤鄉新埤村新華路146號,203822.000000,2485519.000000
萬隆派出所,08-7981819,屏東縣新埤鄉萬隆村中山路65號,207476.000000,2489751.000000
餉潭派出所,08-7981819,屏東縣新埤鄉餉潭村龍潭路137號,209999.000000,2486332.000000
新園分駐所,08-8681004,屏東縣新園鄉仙吉村仙吉路140號,194600.000000,2493827.000000
興龍派出所,08-8322433,屏東縣新園鄉興龍村南興路278號,194358.000000,2487934.000000
丹路派出所,08-8771391,屏東縣獅子鄉丹路村八０巷13號,219627.000000,2456050.000000
內文派出所,08-8701484,屏東縣獅子鄉內文村一巷30號,234623.000000,2457687.000000
內獅派出所,08-8720004,屏東縣獅子鄉內獅村內獅巷60號,213435.000000,2467312.000000
竹坑派出所,08-8771391,屏東縣獅子鄉竹坑村竹坑巷2號,219224.000000,2449788.000000
草埔派出所,08-8701484,屏東縣獅子鄉草埔村5號,229711.000000,2459680.000000
獅子分駐所,08-8771391,屏東縣獅子鄉楓林村八鄰二巷25號,219616.000000,2456022.000000
和平派出所,08-8720004,屏東縣獅子鄉獅子村獅子巷52號,213434.000000,2467310.000000
社皮派出所,08-7073044,屏東縣萬丹鄉社皮村大昌路495號,195418.000000,2501831.000000
新鐘派出所,08-7772254,屏東縣萬丹鄉新鐘村179號,197122.000000,2495851.000000
萬丹分駐所,08-7772004,屏東縣萬丹鄉萬安村萬丹街136號,197549.000000,2498670.000000
赤山派出所,08-7833451,屏東縣萬巒鄉赤山村東山路110號,210059.000000,2498783.000000
佳佐派出所,08-7831114,屏東縣萬巒鄉佳和村佳興路30號,208544.000000,2497046.000000
萬巒分駐所,08-7811320,屏東縣萬巒鄉萬巒村褒忠路124號,205689.000000,2497128.000000
九棚派出所,08-8810200,屏東縣滿州鄉九棚村港仔路32號,237959.000000,2448347.000000
永港派出所,08-8801161,屏東縣滿州鄉永靖村庄內路96號,230232.000000,2434264.000000
長樂派出所,08-8811141,屏東縣滿州鄉長樂村大公路33號,232317.000000,2441929.000000
滿州分駐所,08-8801161,屏東縣滿州鄉滿州村中山路60號,233397.000000,2435872.000000
瑪家分駐所,08-7991749,屏東縣瑪家鄉北葉村風景巷1號,214275.000000,2511900.000000
佳義派出所,08-7990163,屏東縣瑪家鄉佳義村泰平巷53號,212233.000000,2506018.000000
排灣派出所,08-7990163,屏東縣瑪家鄉排灣村40號,212058.000000,2503971.000000
涼山派出所,08-7990163,屏東縣瑪家鄉涼山村涼山巷22號,212726.000000,2506040.000000
崑山派出所,08-7991749,屏東縣瑪家鄉瑪家村瑪家1號,217821.000000,2508396.000000
潮州分局,08-7882020,屏東縣潮州鎮光華里中山路12號,203241.000000,2494533.000000
光華派出所,08-7884265,屏東縣潮洲鎮光華里中山路12號,203194.000000,2494561.000000
四林派出所,08-7882767,屏東縣潮洲鎮泗林里明倫路15號,205484.000000,2494021.000000
中山路派出所,08-7882347,屏東縣潮洲鎮新生里新生路81號,202523.000000,2494491.000000
大武派出所,08-7902467,屏東縣霧台鄉大武村小山巷1號,224791.000000,2517500.000000
去露派出所,08-7902238,屏東縣霧台鄉去露村前山巷1號,221935.000000,2516551.000000
佳暮派出所,08-7902467,屏東縣霧台鄉佳暮村流川巷10號,221256.000000,2517818.000000
阿禮派出所,08-7902238,屏東縣霧台鄉阿禮村中秋巷1號,225206.000000,2514175.000000
霧台分駐所,08-7902238,屏東縣霧台鄉霧台村三鄰神山巷70號,221936.000000,2516552.000000
麟洛分駐所,08-7221528,屏東縣麟洛鄉麟趾村中山路437號,201174.000000,2505831.000000
振興派出所,08-7020234,屏東縣鹽埔鄉振興村中正路6號,210309.000000,2513731.000000
新圍派出所,08-7932244,屏東縣鹽埔鄉新圍村維新路129號,204503.000000,2515683.000000
鹽埔分駐所,08-7932224,屏東縣鹽埔鄉鹽埔村中山路41號,206537.000000,2517535.000000
苗栗縣警察局,037-321303,苗栗市建功里府前路2號,231779.000000,2717490.000000
苗栗分局,037-320059,苗栗市勝利里金鳳街109號,231898.000000,2715040.000000
龍騰派出所,037-872396,苗栗縣三義鄉西湖村伯公坑41-1號,224594.000000,2696962.000000
三義分駐所,037-872003,苗栗縣三義鄉廣盛村90號,226646.000000,2700750.000000
鯉魚派出所,037-881040,苗栗縣三義鄉鯉魚潭村3鄰54-1號,223292.000000,2694580.000000
大河派出所,037-831081,苗栗縣三灣鄉大河村6鄰河底48號,244674.000000,2723390.000000
三灣分駐所,037-831071,苗栗縣三灣鄉中正路256號,245641.000000,2727570.000000
大湖分局,037-991006,苗栗縣大湖鄉明湖村5鄰中正路78號,236437.000000,2701870.000000
大湖派出所,037-991041,苗栗縣大湖鄉明湖村5鄰中正路78號,236439.000000,2701863.000000
南湖派出所,037-991547,苗栗縣大湖鄉南湖村7鄰南昌路132號,236542.000000,2699490.000000
校林派出所,037-951337,苗栗縣大湖鄉栗林村5鄰四份62-1號,234024.000000,2696371.000000
福基派出所,037-225984,苗栗縣公館鄉福基村5鄰133號,232873.000000,2707350.000000
公館分駐所,037-225683,苗栗縣公館鄉館中村大同路181號,232485.000000,2710810.000000
鶴岡派出所,037-226975,苗栗縣公館鄉鶴山村11鄰232號,233105.000000,2713460.000000
大同派出所,037-581712,苗栗縣竹南鎮大埔里公義路931號,239570.000000,2733602.000000
中港派出所,037-470314,苗栗縣竹南鎮-中港里中正路477號,236498.000000,2730660.000000
竹南派出所,037-474796,苗栗縣竹南鎮竹南里民族街72號,237708.000000,2730910.000000
海口派出所,037-460684,苗栗縣竹南鎮海口里6鄰62-12號,235992.000000,2730240.000000
高湖派出所,037-911414,苗栗縣西湖鄉五福村6鄰97號,227211.000000,2712870.000000
西湖分駐所,037-921031,苗栗縣西湖鄉金獅村2鄰金獅26-6號,225467.000000,2716916.000000
坪林派出所,04-25921101,苗栗縣卓蘭鎮坪林里5鄰50號,237213.000000,2692020.000000
卓蘭分駐所,04-25892017,苗栗縣卓蘭鎮新厝里中山路106號,232297.000000,2689666.000000
南庄分駐所,037-822004,苗栗縣南庄鄉東村大同路27號,249893.000000,2721222.000000
陸家派出所,037-821570,苗栗縣南庄鄉東河村24鄰鹿場2號,252787.000000,2714675.000000
東河派出所,037-822094,苗栗縣南庄鄉東河村5鄰50號,254290.000000,2721639.000000
南埔派出所,037-822752,苗栗縣南庄鄉南富村13鄰大南埔14號,247859.000000,2725398.000000
田美派出所,037-822134,苗栗縣南庄鄉獅山村4鄰106號,251297.000000,2724999.000000
蓬萊派出所,037-822040,苗栗縣南庄鄉蓬萊村7鄰90號,247150.000000,2715380.000000
後龍分駐所,037-722520,苗栗縣後龍鎮中龍里13鄰三民路107號,228365.000000,2723000.000000
南勢派出所,037-921445,苗栗縣後龍鎮南港里南勢山1鄰15-10號,227296.000000,2719430.000000
聯港派出所,037-450734,苗栗縣後龍鎮津龍里5鄰59號,225675.000000,2722700.000000
外埔派出所,037-431361,苗栗縣後龍鎮海埔里海埔5號,227258.000000,2726883.000000
新港派出所,037-722474,苗栗縣後龍鎮復興里6鄰建興路111號,231098.000000,2722737.000000
大山派出所,037-431764,苗栗縣後龍鎮灣寶里5鄰93號,230903.000000,2726860.000000
山腳派出所,037-740217,苗栗縣苑裡鎮山腳里389號,218192.000000,2701010.000000
苑裡分駐所,037-861024,苗栗縣苑裡鎮天下路84號,214849.000000,2704212.000000
社苓派出所,037-742508,苗栗縣苑裡鎮社苓里7鄰77號,217122.000000,2699290.000000
文山派出所,037-337127,苗栗縣苗栗市至公路557號,230809.000000,2717716.000000
南苗派出所,037-320367,苗栗縣苗栗市高苗里信義街60號,231193.000000,2716043.000000
北苗派出所,037-260344,苗栗縣苗栗市清華里為公路227號,232629.000000,2718322.000000
大興派出所,037-992349,苗栗縣泰安鄉大興村24號,240973.000000,2702030.000000
中興派出所,037-992350,苗栗縣泰安鄉中興村長橋9號,242027.000000,2699020.000000
新興派出所,037-992351,苗栗縣泰安鄉中興村長橋9號,243402.000000,2700830.000000
梅園派出所,037-962131,苗栗縣泰安鄉梅園村6鄰天狗32號,246997.000000,2698610.000000
松安派出所,037-962132,苗栗縣泰安鄉梅園村6鄰天狗32號,248040.000000,2699510.000000
觀霧派出所,037-273038,苗栗縣泰安鄉梅園村觀霧1號,261653.000000,2711199.000000
泰安分駐所,037-941057,苗栗縣泰安鄉清安村1鄰19號,241457.000000,2706770.000000
大安派出所,037-962241,苗栗縣泰安鄉象鼻村1鄰22號,247556.000000,2697160.000000
士林派出所,037-962037,苗栗縣泰安鄉象鼻村1鄰象鼻12號,243367.000000,2693050.000000
象鼻派出所,037-962243,苗栗縣泰安鄉象鼻村1鄰象鼻12號,245882.000000,2696020.000000
龍山派出所,037-941136,苗栗縣泰安鄉錦水村10鄰橫龍山52號,247012.000000,2707070.000000
八卦派出所,037-941137,苗栗縣泰安鄉錦水村10鄰橫龍山52號,242324.000000,2709750.000000
虎山派出所,037-941217,苗栗縣泰安鄉錦水村10鄰橫龍山52號,244289.000000,2706840.000000
通霄派出所,037-752001,苗栗縣通霄鎮中正路16號,217789.000000,2709413.000000
白沙派出所,037-792134,苗栗縣通霄鎮白東里133號,220674.000000,2718080.000000
中和派出所,037-782254,苗栗縣通霄鎮南和里9鄰112號,221873.000000,2704480.000000
烏眉派出所,037-753164,苗栗縣通霄鎮烏眉里4鄰41號,222026.000000,2711400.000000
通霄分局,037-752464,苗栗縣通霄鎮通東里中正路16號,217789.000000,2709413.000000
埔口派出所,037-792143,苗栗縣通霄鎮通灣里1鄰17-18號,218897.000000,2714300.000000
造橋分駐所,037-624224,苗栗縣造橋鄉造橋村4鄰平仁路51號,236609.000000,2726021.000000
談文派出所,037-622664,苗栗縣造橋鄉談文村8鄰51-16號,235161.000000,2727430.000000
百壽派出所,037-931231,苗栗縣獅潭鄉百壽村百壽39-1號,243929.000000,2719220.000000
汶水派出所,037-991648,苗栗縣獅潭鄉竹木村16鄰24號,237673.000000,2705760.000000
和興派出所,037-931230,苗栗縣獅潭鄉和興村12鄰27號,240924.000000,2712130.000000
獅潭分駐所,037-931348,苗栗縣獅潭鄉新店村7鄰63號,241867.000000,2714690.000000
雞隆派出所,037-971012,苗栗縣銅鑼鄉盛隆村35號,230571.000000,2702820.000000
銅鑼分駐所,037-981014,苗栗縣銅鑼鄉銅鑼村中正路122號,228433.000000,2708980.000000
頭份派出所,037-663004,苗栗縣頭份鎮中正路223號,241385.000000,2731258.000000
斗坪派出所,037-665770,苗栗縣頭份鎮斗坪里19鄰中正二路215號,244561.000000,2730420.000000
尖山派出所,037-622763,苗栗縣頭份鎮廣興里2鄰中華路160號,237979.000000,2728635.000000
頭份分局,037-663306,苗栗縣頭份鎮頭份里中正路223號,241377.000000,2731260.000000
明德派出所,037-252538,苗栗縣頭屋鄉明德村明德路131號,238305.000000,2719778.000000
頭屋分駐所,037-253103,苗栗縣頭屋鄉頭屋村中山街17號,234869.000000,2718929.000000
四維派出所,03-3662771,桃園縣八德市大愛里重慶街148號,280575.000000,2760928.000000
高明派出所,03-3698200,桃園縣八德市白鷺里永豐路160號,278083.000000,2761946.000000
大安派出所,03-3644106,桃園縣八德市和平路頂橋巷25號,281013.000000,2761849.000000
廣興派出所,03-3775127,桃園縣八德市廣興里廣興路829號,278655.000000,2760289.000000
八德派出所,03-3682802,桃園縣八德市興仁里中山路23號,278765.000000,2758017.000000
八德分局,03-3731907,桃園縣八德市興豐路1216號,281212.000000,2758971.000000
大園分局,03-3862009,桃園縣大園鄉中正西路13號,269760.000000,2772819.000000
潮音派出所,03-3862314,桃園縣大園鄉北港村9號,267216.000000,2774739.000000
大園派出所,03-3862804,桃園縣大園鄉田心村中正西路13號,269760.000000,2772819.000000
竹圍派出所,03-3835089,桃園縣大園鄉竹圍村竹圍街10號,274584.000000,2777316.000000
埔心派出所,03-3811684,桃園縣大園鄉埔心村1號,273047.000000,2771559.000000
三元派出所,03-3801040,桃園縣大溪鎮三元里石園路53號,276786.000000,2752625.000000
中新派出所,03-3801853,桃園縣大溪鎮中新里124號,282153.000000,2758099.000000
圳頂派出所,03-3801287,桃園縣大溪鎮仁善里介壽路386號,279429.000000,2756725.000000
永福派出所,03-3885802,桃園縣大溪鎮永福里信義路1127號,282742.000000,2754098.000000
內柵派出所,03-3883849,桃園縣大溪鎮康安里46號,278428.000000,2750239.000000
慈湖分駐所,03-3885891,桃園縣大溪鎮復興路一段1268號,279590.000000,2748093.000000
三層派出所,03-3882349,桃園縣大溪鎮福安里18鄰7號,279782.000000,2749959.000000
福安派出所,03-3888767,桃園縣大溪鎮福安里猴洞坑19之2號,278993.000000,2748895.000000
百吉派出所,03-3885884,桃園縣大溪鎮福興里38號,281566.000000,2746339.000000
南雅派出所,03-3883720,桃園縣大溪鎮興和里普濟路9號,279006.000000,2752554.000000
大溪分局,03-3887643,桃園縣大溪鎮興和里普濟路9號,279006.000000,2752554.000000
自強派出所,03-2854333,桃園縣中壢市中正里榮民路387號,276452.000000,2761541.000000
內壢派出所,03-4553845,桃園縣中壢市中原里中華路一段364號,275828.000000,2762716.000000
中福派出所,03-4523093,桃園縣中壢市中福里南園2路86號,273740.000000,2762669.000000
仁愛派出所,03-4563524,桃園縣中壢市仁愛里新中北路2段80巷75號,276401.000000,2760669.000000
大崙派出所,03-4982260,桃園縣中壢市內厝里中正路4段186號,268070.000000,2764650.000000
文化派出所,03-4528348,桃園縣中壢市文化里自強一路6號,274724.000000,2762480.000000
中壢分局,03-4221460,桃園縣中壢市石頭里延平路607號,272455.000000,2760710.000000
中壢派出所,03-4222030,桃園縣中壢市石頭里延平路607號,272455.000000,2760710.000000
青埔派出所,03-4531468,桃園縣中壢市青埔里青埔路1段67號,271274.000000,2767306.000000
普仁派出所,03-4562912,桃園縣中壢市普仁里日新路20號,274109.000000,2760707.000000
興國派出所,03-4258325,桃園縣中壢市興國里中豐路88號,272192.000000,2761622.000000
龍興派出所,03-4285776,桃園縣中壢市龍仁路15號,273666.000000,2758780.000000
龍岡派出所,03-4503245,桃園縣中壢市龍興里龍南路141號,274993.000000,2757359.000000
宋屋派出所,03-4938381,桃園縣平鎮市宋屋里延平路2段412號,270849.000000,2759466.000000
建安派出所,03-4502331,桃園縣平鎮市東勢里金陵路5段108號,273347.000000,2755738.000000
平鎮分局,03-4390218,桃園縣平鎮市南勢里中庸路123號,270962.000000,2756166.000000
平鎮派出所,03-4391280,桃園縣平鎮市南勢里中庸路123號,270962.000000,2756166.000000
北勢派出所,03-4282206,桃園縣平鎮市振平街228號,272299.000000,2759363.000000
大樹派出所,03-3622987,桃園縣桃園市大林里樹仁二街41號,282328.000000,2763378.000000
桃園分局,03-3323811,桃園縣桃園市中成里文中北路2號,280177.000000,2765834.000000
埔子派出所,03-3353692,桃園縣桃園市中成里文中北路2號,280177.000000,2765834.000000
景福派出所,03-3578385,桃園縣桃園市中和里民族路110號,281202.000000,2764998.000000
武陵派出所,03-3364224,桃園縣桃園市文化里復興路135號,281518.000000,2764710.000000
桃園縣政府警察局,03-3334400,桃園縣桃園市光興里縣府路3號,280489.000000,2765075.000000
中路派出所,03-3578385,桃園縣桃園市光興里縣府路51號,280255.000000,2765062.000000
青溪派出所,03-3332742,桃園縣桃園市青溪里鎮撫街39號,281728.000000,2765604.000000
龍安派出所,03-3601975,桃園縣桃園市龍岡里龍安街140號,278254.000000,2764789.000000
三民派出所,03-3825605,桃園縣復興鄉三民村水流東路43號,283460.000000,2747241.000000
三光派出所,03-3912258,桃園縣復興鄉三光村7鄰32號,287367.000000,2729769.000000
長興派出所,03-3822961,桃園縣復興鄉長興村16鄰29號,276008.000000,2743779.000000
高遶派出所,03-3822103,桃園縣復興鄉長興村6鄰中高遶2號,278458.000000,2743202.000000
奎輝派出所,03-3822960,桃園縣復興鄉奎輝村4鄰37號,283504.000000,2743159.000000
榮華派出所,03-3821016,桃園縣復興鄉高義村11鄰卡義蘭2號,286528.000000,2733659.000000
光華派出所,03-3912253,桃園縣復興鄉華陵村4鄰1號,290364.000000,2727769.000000
巴陵派出所,03-3912180,桃園縣復興鄉華陵村9鄰44號,290061.000000,2730789.000000
復興分駐所,03-3822604,桃園縣復興鄉澤仁村中正路2號,285481.000000,2745241.000000
霞雲派出所,03-3822607,桃園縣復興鄉霞雲村6鄰21號,288489.000000,2745499.000000
羅浮派出所,03-3822606,桃園縣復興鄉羅浮村3鄰3號,285232.000000,2741739.000000
溪內派出所,03-3822958,桃園縣復興鄉羅浮村河流2鄰51之2號,288063.000000,2743879.000000
大坡派出所,03-4768410,桃園縣新屋鄉大坡村94號,254151.000000,2761119.000000
永安派出所,03-4861092,桃園縣新屋鄉永安村中山西路3段62號,254527.000000,2764401.000000
新屋分駐所,03-4772014,桃園縣新屋鄉後湖村6鄰7之6號,260789.000000,2762729.000000
埔頂派出所,03-4772044,桃園縣新屋鄉埔頂村中華南路2段445號,261987.000000,2760195.000000
上湖派出所,03-4721721,桃園縣楊梅鎮三湖里楊湖路3段239號,259617.000000,2756117.000000
楊梅分局,03-4755749,桃園縣楊梅鎮紅梅里中山路123號,264757.000000,2755463.000000
楊梅派出所,03-4782007,桃園縣楊梅鎮紅梅里中山路123號,264757.000000,2755463.000000
草湳派出所,03-4826278,桃園縣楊梅鎮埔心里永美路237號,268545.000000,2756775.000000
幼獅派出所,03-4643521,桃園縣楊梅鎮高山里幼獅路1段458號,267754.000000,2757459.000000
富岡派出所,03-4721794,桃園縣楊梅鎮富岡里富源街22號,258264.000000,2758640.000000
三和派出所,03-4794384,桃園縣龍潭鄉三和村24號,267746.000000,2749259.000000
中興派出所,03-4797497,桃園縣龍潭鄉中興村武漢路45號,273720.000000,2751646.000000
石門派出所,03-4712021,桃園縣龍潭鄉佳安村文化路230號,274384.000000,2748377.000000
龍潭分局,03-4890831,桃園縣龍潭鄉凌雲村干城路21號,270969.000000,2751246.000000
聖亭派出所,03-4891110,桃園縣龍潭鄉凌雲村干城路21號,270969.000000,2751246.000000
高平派出所,03-4717204,桃園縣龍潭鄉高平村中豐路高平段281號,270920.000000,2747608.000000
龍潭派出所,03-4792002,桃園縣龍潭鄉龍潭村東龍路198號,271684.000000,2750744.000000
大坑派出所,03-3251310,桃園縣龜山鄉大坑村12之2號,281765.000000,2770849.000000
坪頂派出所,03-3282570,桃園縣龜山鄉大岡村8號,286037.000000,2771929.000000
大林派出所,03-3500070,桃園縣龜山鄉山福村幸福一街38之1號,283760.000000,2764473.000000
大埔派出所,03-3291735,桃園縣龜山鄉文德二路80號,288514.000000,2771738.000000
迴龍派出所,02-82006815,桃園縣龜山鄉龍壽村萬壽路1段117號,291283.000000,2767889.000000
龜山派出所,03-3202554,桃園縣龜山鄉龜山村萬壽路2段931號,284208.000000,2765301.000000
龜山分局,03-3292701,桃園縣龜山鄉龜山村萬壽路2段931號,284208.000000,2765301.000000
大竹派出所,03-3232704,桃園縣蘆竹鄉大竹村大竹路540號,276165.000000,2768478.000000
外社派出所,03-3241749,桃園縣蘆竹鄉外社村山林路2段405號,280683.000000,2775059.000000
蘆竹分局,03-2220307,桃園縣蘆竹鄉南崁村南崁路175巷10-1號,279580.000000,2771041.000000
南崁派出所,03-3223981,桃園縣蘆竹鄉南崁村南崁路179號,279629.000000,2771062.000000
南竹派出所,03-3121090,桃園縣蘆竹鄉南興村南竹路2段97號,278740.000000,2770392.000000
新坡派出所,03-4981001,桃園縣觀音鄉大同村中山路2段668號,263744.000000,2767181.000000
草漯派出所,03-4830301,桃園縣觀音鄉草漯村路140號,264456.000000,2770948.000000
觀音分駐所,03-4732025,桃園縣觀音鄉觀音村中山路14號,258280.000000,2769826.000000
前鎮分局,07-7242372,高雄市三民區民享里哈爾濱街118號,178032.000000,2505068.000000
三民第一分局,07-3118675,高雄市三民區同盟一路367號,178545.000000,2505895.000000
十全路派出所,07-3115807,高雄市三民區安生里十全一路86號,179226.000000,2505143.000000
哈爾濱街派出所,07-3110785,高雄市三民區安邦里哈爾濱街215號,178026.000000,2505431.000000
長明派出所,07-2355098,高雄市三民區長明里南華路253號,178409.000000,2504367.000000
陽明派出所,07-3922032,高雄市三民區義華路272號,181950.000000,2505087.000000
鼎金派出所,07-3426730,高雄市三民區鼎力路125號,180297.000000,2507533.000000
三民派出所,07-2211460,高雄市三民區鳳北里建國三路188號,177289.000000,2504258.000000
三民第二分局,07-3814093,高雄市三民區寶德里覺民路366號,181516.000000,2504663.000000
覺民路派出所,07-3842108,高雄市三民區寶德里覺民路366號,181516.000000,2504663.000000
民族派出所,07-3822653,高雄市三民區灣中里民族一路208號,179607.000000,2505453.000000
鼎山派出所,07-3907880,高雄市三民區灣愛里鼎山街260號,180283.000000,2506702.000000
大社分駐所,07-3511369,高雄市大社區神農里金龍路63號,183653.000000,2514436.000000
昭明派出所,07-6411903,高雄市大寮區義仁里鳳林一路287號,188910.000000,2494015.000000
大寮分駐所,07-7816335,高雄市大寮區鳳林三路377號,188009.000000,2500368.000000
忠義派出所,07-7817429,高雄市大寮區鳳林四路353號,186515.000000,2502268.000000
九曲派出所,07-6512027,高雄市大樹區久堂里久堂路130號,190188.000000,2506546.000000
溪埔派出所,07-6561044,高雄市大樹區溪埔路65號,192930.000000,2514250.000000
大樹分駐所,07-6512439,高雄市大樹區檨腳里中興南路15號,191782.000000,2510125.000000
